,wikidata,type,osmid
6032,Q5259967,,
6038,Q5140709,,
6040,Q5242480,,
6041,Q5194217,,
6043,Q5189237,,
6044,Q5249107,,
6045,Q5059067,,
6046,Q5179324,,
6049,Q5063176,,
6051,Q5211747,,
6053,Q5192555,,
6076,Q3813669,,
6083,Q3885838,,
6084,Q3885282,,
6089,Q3813608,,
6095,Q3813632,,
6099,Q3885015,,
6102,Q3885398,,
6108,Q3813640,,
6114,Q3884906,,
6116,Q3885954,,
6118,Q3813636,,
6119,Q3885938,,
6133,Q3813628,,
6135,Q3885379,,
6136,Q3885398,,
6142,Q3885897,,
6144,Q3885371,,
6149,Q3813728,,
6152,Q3885286,,
6157,Q3813683,,
6158,Q3813700,,
6160,Q3885280,,
6161,Q3813637,,
6162,Q3813685,,
6165,Q3885371,,
6168,Q3813700,,
6169,Q3813669,,
6173,Q3344188,,
6177,Q3495914,,
6182,Q3366020,,
6190,Q3468740,,
6202,Q3433938,,
6203,Q3434394,,
6207,Q3434640,,
6215,Q3434398,,
6217,Q3339437,,
6218,Q3334432,,
6221,Q3430540,,
6228,Q3344188,,
6229,Q3357652,,
6234,Q3496522,,
6241,Q3468780,,
6246,Q3318057,,
6248,Q3496522,,
6252,Q3339504,,
6255,Q3436184,,
6257,Q3339504,,
6262,Q3437159,,
6264,Q3435405,,
6269,Q3565415,,
6272,Q3565874,,
6275,Q3565205,,
6281,Q3565156,,
6284,Q3565435,,
6296,Q3565205,,
6297,Q3565254,,
6306,Q3565720,,
6310,Q3565706,,
6313,Q3565132,,
6319,Q3565535,,
6324,Q3565517,,
6325,Q3565538,,
6328,Q3564973,,
6333,Q3565577,,
6339,Q3565713,,
6341,Q3565643,,
6345,Q3564959,,
6346,Q3565132,,
6356,Q3565677,,
6361,Q3565517,,
