,wikidata,type,osmid
1937,Q30160274,way,42992405
1938,Q30160129,way,102892696
1940,Q30160391,way,529123692
1943,Q30160308,way,529123677
1944,Q30160239,way,102892770
1946,Q30160184,way,967638092
1947,Q30160303,way,43043503
1948,Q30160376,way,529123961
1951,Q30159672,way,529123931
1952,Q30160165,relation,305134
1954,Q30159591,way,102924599
1956,Q30159820,way,103038210
1958,Q30160155,way,43302524
1963,Q30160144,way,103249540
1964,Q30160289,way,43302535
1966,Q30160250,relation,9446864
1968,Q30160190,way,43248216
1971,Q30160325,way,529731339
1972,Q30160125,relation,1464359
1978,Q30160328,way,102881738
1979,Q30160170,way,103226455
1982,Q30160077,way,103226889
1983,Q30160408,way,529731412
1990,Q30159680,way,529348291
1992,Q30160384,way,102892758
1997,Q30160205,relation,1460347
2001,Q30160539,relation,9420636
2002,Q30160571,way,572712499
2003,Q30160621,way,610720614
2004,Q30160613,way,103039679
2007,Q30160440,way,1021166507
2008,Q30160431,way,103038458
2010,Q30160437,relation,12459324
2012,Q30160611,way,896642454
2016,Q30160538,way,42992310
2017,Q30160455,way,529348330
2019,Q30160627,way,43248240
2023,Q30160604,relation,9413874
2026,Q30160493,way,43248155
2027,Q30160434,relation,6336685
2029,Q30160488,relation,9464546
2030,Q30160625,relation,1536359
2031,Q30160576,relation,8524058
2040,Q30160565,relation,9749810
2045,Q30160606,relation,1460523
2046,Q30160483,way,42992399
2047,Q30160442,relation,1460340
2048,Q30160450,way,42896600
2049,Q30160589,way,42896666
2050,Q30160560,way,529123673
2051,Q30160495,way,529731265
2052,Q30160458,way,103040685
2053,Q30160566,way,43002289
2054,Q30160573,relation,13022162
2056,Q30160433,way,707433437
2057,Q30160563,way,42895537
2058,Q30160541,way,42992330
2059,Q30160531,relation,1463745
2061,Q30160564,way,43190036
2064,Q30160617,way,660042336
2066,Q30160521,way,529348453
2071,Q30160549,way,745361954
2072,Q30160638,way,42992466
2078,Q30160551,way,42992409
2079,Q30160545,relation,11903063
2081,Q30160636,way,103037431
2085,Q30160443,relation,10246750
2088,Q30160574,relation,2473736
2090,Q30160454,relation,9446866
2097,Q30160474,way,529348201
2099,Q30160445,relation,12751094
2100,Q30160710,way,102892914
2103,Q30160709,way,43002183
2105,Q30160697,way,610673368
2106,Q30160879,way,102925049
2107,Q30160809,way,103227189
2108,Q30160928,way,103228555
2109,Q30160677,way,529348210
2110,Q30160692,way,43248175
2111,Q30160701,way,102924539
2113,Q30160641,way,529348180
2116,Q30160685,way,42992410
2117,Q30160900,way,43302454
2118,Q30160893,relation,300573
2119,Q30160770,way,529123592
2120,Q30160708,way,102924827
2123,Q30160726,relation,9849182
2124,Q30160721,way,103038400
2127,Q30160702,way,529348317
2130,Q30160891,relation,7621648
2133,Q30160705,relation,12865306
2136,Q30160790,way,102881490
2140,Q30160763,way,42992508
2142,Q30160871,way,42992397
2144,Q30160732,relation,1026263
2149,Q30160650,way,42992473
2156,Q30160775,way,967648290
2157,Q30160807,way,43189851
2158,Q30160803,relation,1460554
2160,Q30160668,way,103225890
2161,Q30160883,way,43302436
2163,Q30161141,way,42992509
2164,Q30160707,relation,305124
2169,Q30160915,way,102892729
2171,Q30160713,relation,8059834
2176,Q30160802,relation,7618894
2177,Q30160683,relation,1461865
2180,Q30160652,way,102892848
2183,Q30160673,way,529123607
2184,Q30160863,way,103040562
2185,Q30160654,way,103039686
2186,Q30160718,way,102924593
2188,Q30160866,relation,1459420
2189,Q30160784,way,529348441
2190,Q30160645,way,43043472
2191,Q30160742,relation,10627074
2192,Q30160806,relation,9749808
2193,Q30160659,way,43302509
2194,Q30160711,way,43043378
2196,Q30160845,relation,7224403
2198,Q30160731,way,103037909
2199,Q30160853,way,529731385
2200,Q30161193,way,43302439
2201,Q30161583,way,43248160
2202,Q30161474,relation,10225326
2203,Q30161313,way,529123953
2204,Q30161504,way,529348335
2206,Q30161197,way,529348315
2207,Q30161285,way,529123651
2208,Q30161455,relation,9769162
2211,Q30161218,relation,7618893
2214,Q30161607,way,43002286
2215,Q30161360,way,102775611
2216,Q30161573,way,103040655
2217,Q30161151,way,103040619
2218,Q30161281,way,103039897
2220,Q30161392,relation,9856953
2222,Q30161413,way,1020358133
2223,Q30161161,way,529348323
2224,Q30161366,way,103225795
2227,Q30161368,relation,1463800
2228,Q30161567,way,99535067
2229,Q30161353,relation,10277278
2230,Q30161377,way,529348209
2231,Q30161336,relation,10626314
2232,Q30161427,way,43043376
2236,Q30161345,relation,8143041
2237,Q30161167,way,102892835
2243,Q30161440,way,42992517
2244,Q30161415,way,43248096
2246,Q30161442,way,529348336
2247,Q30161363,way,42992328
2251,Q30161536,way,529123902
2252,Q30161180,relation,10225325
2253,Q30161374,way,529731338
2259,Q30161580,way,43302529
2260,Q30161517,way,103226386
2261,Q30161562,way,102865301
2264,Q30161323,way,42896510
2266,Q30161611,way,504757530
2267,Q30161519,way,100609961
2268,Q30161329,way,102892685
2270,Q30161350,way,102924519
2273,Q30161290,way,43043542
2275,Q30161488,way,103225881
2278,Q30161400,way,42992430
2279,Q30161623,way,42896605
2286,Q30161433,relation,9446865
2288,Q30161514,relation,15957899
2289,Q30161446,way,43043574
2290,Q30161565,way,103226184
2296,Q30161201,relation,1436189
2299,Q30161257,way,43302512
2301,Q30162019,relation,9464547
2306,Q30161862,way,103224263
2307,Q30161839,way,529123649
2309,Q30162223,way,529348446
2310,Q30161985,way,103037648
2316,Q30161790,relation,9787978
2317,Q30162065,way,43302444
2318,Q30161673,way,43313197
2320,Q30161632,way,42896477
